w1,w2,w3,w4,color,connection
boy,goodness,man,wow,0,interjections
birds,exorcist,haunting,shining,1,"horror movies, with “the”"
apple,banjo,card,nose,2,things you can pick
belonging,effect,good,possession,3,personal property minus “s”
core,midriff,torso,trunk,0,central section of the body
cheese,crust,sauce,toppings,1,components of a pizza
case,forty,growler,six-pack,2,units of beer
bonds,mantle,trout,young,3,baseball greats
boa,corset,garter,stockings,0,burlesque wear
scar,scrape,scratch,score,1,mess up the surface of
crowd,engine,katy perry,lion,2,they roar
mamba,meringue,simba,tangy,3,latin dances with a vowel changed
abstain,avoid,cease,refrain,0,desist
bridge,hearts,speed,spoons,1,card games
chorus,hero,hubris,tragedy,2,elements of greek drama
bell,darling,hook,pan,3,second words of “peter pan” characters
block,check,dam,stop,0,restrict
concert,game,movie,play,1,ticketed events
dysentery,ford,hunt,oxen,2,associated with the game the oregon trail
actor,car,director,president,3,what “ford” might refer to
nick,pinch,pocket,swipe,0,steal
absent,excused,late,present,1,attendance status
gothic,roman,sans,typewriter,2,font-modifying words
caper,elder,goose,logan,3,___berry
bit,flash,jiff,sec,0,short period of time
err,fall,sin,stray,1,do wrong
buck,net,spur,sun,2,n.b.a. player
bots,came,ken,tan,3,starts of african countries
citrus,leafy greens,sunshine,supplements,0,sources of vitamins
city,land,town,world,1,places used in retail suffixes
american flag,galaxy,red carpet,uber rating,2,places to find stars
all out,between,kart,steady,3,words after “go”
canary,gold,lemon,mustard,0,shades of yellow
mine,reserve,store,well,1,supply
bah,coal,grinch,naughty,2,anti-spirit of christmas
ella,gusto,mayo,soy,3,spanish words
ball,globe,orb,sphere,0,round three-dimensional objects
pop,pound,slug,sock,1,punch
bat,dog,frog,newt,2,animals in the witches' brew in “macbeth”
hole,hound,glove,trot,3,fox___
jab,pierce,poke,stick,0,prick
copy,negative,over,roger,1,radio lingo
daniel,job,judges,numbers,2,old testament books
sean,siobhan,sugar,sure,3,words pronounced “sh” without an “sh”
beat,pound,pulse,thump,0,throb
cape,crater,gorge,ridge,1,landforms
hammer,hanger,level,nail,2,picture hanging needs
ball,hills,locker,print,3,foot___
cool,distant,remote,reserved,0,aloof
cable,gas,trash,water,1,utilities
charge,current,resistance,voltage,2,what an electrometer measures
dovetail,hip,pizza,spike lee,3,___ joint
contract,engage,retain,sign,0,employ
banner,header,menu,sidebar,1,parts of a website
billboard,people,star,time,2,magazines
crossword,grimace,rainbow,semblance,3,ending with medieval weapons
balance,difference,remainder,rest,0,what’s leftover
cruise,drive,ride,spin,1,car trip
diamond,field,park,stadium,2,baseball venues
bay,harmony,ink,trade,3,companies with “e” removed
announcement,bulletin,notice,poster,0,printed notification
conveyor belt,register,scale,scanner,1,seen at a grocery checkout counter
browser,folder,keyboard,soda can,2,things with tabs
beach,reader,sunday,tree,3,palm ___
fancy,impulse,lark,whim,0,caprice
kind,like,sort,type,1,ilk
hank,robin,tennessee,venus,2,williamses
herb,job,nice,reading,3,words pronounced differently as proper nouns
$,€,£,¥,0,currency symbols
&,+,n,x,1,and/together with
(,),o,p,2,emoticon mouths
r,→,⊾,✔,3,"""right"""
ate,had,put away,took in,0,consumed
as well,besides,to boot,too,1,also
balance,deposit,transfer,withdrawal,2,atm options
fore,horse,screen,word,3,___play
mean,norm,par,standard,0,average
arrows,eagle,olive branch,shield,1,pictured on the u.s. great seal
birdie,dolly,kate,yankees,2,proper nouns in broadway musical titles that are spoken phrases
bogey,crafts,gentle,spokes,3,___man
china,crystal,linen,silver,0,materials associated with fancy dining
bermuda,bike,boxer,cargo,1,kinds of shorts
canal,man,panama,plan,2,nouns in a famous palindrome
brazil,clue,commando,witness,3,movies from 1985
chuck,pelt,pitch,sling,0,hurl
bookend,bracket,flank,surround,1,be on both sides of
badge,beret,sash,skirt,2,parts of a classic girl scout uniform
bingo,city,monty,study,3,___ hall
move,reach,sway,touch,0,affect
bingo,correct,ding,right,1,you got it!
change,green,paper,scratch,2,slang for money
chip,phone,scope,wave,3,objects with the prefix “micro-”
fork,glass,napkin,plate,0,parts of a table setting
flew,rose,shot,thrust,1,"increased, with “up”"
card,cloud,disk,drive,2,kinds of digital storage
bounce,galleon,pinot,quartz,3,units of volume plus letter
crossword,oreo,panda,tuxedo,0,black-and-white things
abel,able,bale,bela,1,anagrams
abe,cal,dick,teddy,2,u.s. presidential nicknames
a bell,crystal,day,mud,3,clear as ___
foul,rank,ripe,sour,0,bad-smelling
constant,level,stable,uniform,1,unfluctuating
adults only,everyone,teen,mature,2,"who video games are for, per esrb ratings"
earth,henhouse,onion,photoshop,3,things with layers
absorb,entrance,grab,rivet,0,captivate
airplane,fairy,fly,hospital,1,things with wings
pocket,smart,stop,wrist,2,words that modify “watch”
back,black,buttons,mack,3,words repeated in “miss mary mack”
tambourine,theremin,timpani,trombone,0,musical instruments
tchotchke,thingamajig,trifle,trinket,1,knickknack
triangle,trident,trillion,trilobite,2,words with the prefix meaning “three”
television,touchdown,trademark,tuberculosis,3,words abbreviated with “t” + letter
circle,scene,sphere,world,0,milieu
great,icon,legend,lion,1,luminary
compass,ruler,stencil,t-square,2,architectural drawing tools
chart,exam,mitzvah,soap,3,bar ___
direct,frank,loud,vocal,0,outspoken
bay,channel,sound,strait,1,bodies of water
bungee,extension,spinal,umbilical,2,kinds of cords
genie,lightning,message,ship,3,things in bottles
convey,express,mean,spell,0,signify
back,extensions,forward,refresh,1,web browser buttons
divider,lane,median,shoulder,2,parts of a road
carte,king,mode,plancha,3,à/a la ___
remarkable,singular,special,unique,0,exceptional
angst,die,kinder,wurst,1,german words
deer,sheep,shrimp,squid,2,plural animals identical to their singular forms
dice,lice,mice,oxen,3,plural words that are very different from their singular forms
fiber,strand,string,thread,0,filament
abandon,freedom,spontaneity,unrestraint,1,uninhibitedness
dump,garbage,monster,pickup,2,kinds of trucks
ben folds,jackson,maroon,mc,3,bands minus the number five
cluster,collection,constellation,group,0,bunch
ballet,debut,rapport,tarot,1,ending with silent “t”
monster,psycho,seven,zodiac,2,serial killer movies
draconian,hydrant,leonardo,library,3,starting with constellations
barb,bristle,needle,spine,0,sharp protrusion
bridge,neck,peg,string,1,features of stringed instruments
charge,move,serve,sue,2,litigation verbs
may,might,tonight,wish,3,"in “star light, star bright”"
assess,charge,fine,levy,0,"impose, as a penalty"
candy,chapstick,charging cable,magazine,1,checkout line impulse buys
epic,feature,film series,short,2,movies of various lengths
dirt,high,rocky,silk,3,___ road
angle,bias,slant,spin,0,partiality
flag,hail,wave,whistle,1,"signal down, as a taxi"
flop,hole,river,turn,2,cards in texas hold ’em
anon,art,thou,wilt,3,shakespearean words
butter,eggs,flour,sugar,0,ingredients in classic pound cake
cardinal,elmo,ketchup,rose,1,things that are red
month,orange,purple,silver,2,words said to have no exact rhymes
cotton,eye,john,rock,3,___ candy
alternative,break,change,departure,0,variation from the norm
alarm,bell,intercom,phone,1,things that ring
football,moccasins,saddle,wallet,2,things traditionally made of leather
keys,king,legend,wonder,3,singer-songwriter pianists
ragamuffin,russian blue,sphynx,turkish angora,0,cat breeds
cheshire cat,comedy mask,joker,mona lisa,1,famous smiles
liberty bell,venus de milo,statue of liberty,tower of pisa,2,attractions iconically different from their original forms
bathrobe,bowling,rug,white russian,3,associated with “the dude” lebowski
microphone,mouse,scanner,tablet,0,computer input devices
brick,concrete,metal,stone,1,building materials
favor,kindness,service,solid,2,helpful deed
abracadabra,centerfold,mickey,physical,3,#1 songs from 1982
artificial,fake,imitation,mock,0,faux
bulky,cotton,delicate,spin,1,washing machine cycles/settings
bogus,dude,excellent,totally,2,words said frequently in the “bill and ted” movies
chatter,juke,shadow,soap,3,___box
label,mark,seal,stamp,0,emblem
brown,cash,dylan,mercury,1,subjects of acclaimed musical biopics
buffalo,helena,irving,phoenix,2,u.s. cities
ample,dote,lumon,poach,3,fruits with their second letters changed
dwindle,fade,peter,taper,0,wane
plant,prune,water,weed,1,do some tasks in the garden
flat,mary jane,mule,slide,2,shoes
castle,paper,piper,stone,3,sand___
border,edge,fringe,skirt,0,periphery
bite,clip,file,paint,1,things people do to fingernails
allergy,melodrama,onion,relief,2,what might bring tears to your eyes
dodge,kick,pickle,soft,3,___ball recreational sports
dewy,fresh,glowing,smooth,0,adjectives for nice skin
mat,mop,tangle,thatch,1,mess of hair
bucket,pip,scrooge,twist,2,dickens characters
daisy,food,mountain,supply,3,___ chain
chill,loaf,lounge,rest,0,be at leisure
bar,coin,leaf,nugget,1,formats of gold
bolt,reel,roll,scroll,2,cylinder of material
bone,club,dinosaur,rubble,3,seen in “the flintstones”
airplane,do not disturb,ring,vibrate,0,cellphone modes
dodge,escape,lose,shake,1,evade
tungsten,watt,west,win,2,what “w” might stand for
draw,ham,heart,shoe,3,___string
horseshoe,ladybug,penny,shamrock,0,associated with good luck
tollbooth,tomboy,toolbox,towboat,1,to-bo- compound words
fiddler,merrily,phantom,sunset,2,"broadway musicals, familiarly"
drugstore,midnight,rhinestone,space,3,words before “cowboy” in film and music
hesitate,waffle,waver,yo-yo,0,be indecisive
angel,dear,doll,peach,1,lovely person
marbles,mind,sense,wits,2,lucidity
bell,egg,genie,toothpaste,3,components of metaphors for things that can’t be undone
call,dial,phone,ring,0,contact via telephone
belt,horn,mirror,wheel,1,parts of a car
atom,cell,organ,tissue,2,levels of biological organization
bigfoot,compound,instagram,thermometer,3,ending with units of measure
charge,cost,price,rate,0,expenditure
former,late,past,prior,1,onetime
dash,hyphen,minus,underscore,2,made with horizontal lines
baggie,barge,comer,pisa,3,simpson family members with first letter changed
gusto,passion,relish,zest,0,enthusiasm
beaucoup,molto,mucho,multi,1,“many” in different languages
brick,fish tank,microwave,shoebox,2,rectangular prisms
jenny,lime,mortar,pickle,3,rhyme with u.s. coins
gobble,gulp,scarf,wolf,0,eat voraciously
bow,buckle,cave,give,1,bend under pressure
anchor,compass,mermaid,swallow,2,classic nautical tattoos
butte,china,hearth,shine,3,body parts plus letter
gnash,grate,grind,scrape,0,rub together
can,ferment,freeze,pickle,1,ways to preserve food
butter,hot sauce,jam,syrup,2,breakfast condiments
beans,guts,milk,tea,3,proverbial things that are spilled
canadien,celtic,packer,yankee,0,member of a team with the most championships in their respective sports
crimp,curl,feather,tease,1,create some volume/texture in hair
glitter,glue,macaroni,paper,2,supplies for macaroni art
doodle,goose,parachute,rod,3,words after “golden”
answer,fix,remedy,solution,0,way of solving a problem
gather,harvest,pick,reap,1,"collect, as from an orchard"
eraser,eyedropper,lasso,magic wand,2,photoshop tools
baseball glove,can opener,golf club,guitar,3,objects that may be right- or left-handed
alarm,flare,signal,sos,0,alert
bunk,crash,sleep,stay,1,spend the night (at)
dew,rooster,sunrise,worm,2,associated with early morning
circle,star,triangle,umbrella,3,cookie cutter shapes in “squid game”
boardwalk,dock,lighthouse,wharf,0,structures by the shore
dent,ding,nick,scratch,1,small imperfection
chime,cuckoo,tick,tock,2,sounds a cuckoo clock makes
cock,mock,pig,pony,3,___tail
cavity,hole,hollow,pit,0,crater
available,handy,nearby,ready,1,accessible
filling,hearty,solid,square,2,"substantial, as a meal"
butty,chippy,footy,telly,3,britishisms
break,leave,rest,vacation,0,time off
curve,snake,weave,wind,1,follow a meandering course
double,spare,strike,turkey,2,bowling results
blow,cat,gold,sword,3,___fish
hint,suggestion,touch,trace,0,glimmer
complement,fit,match,suit,1,correspond well with
lamb chop,oscar,punch,triumph,2,famous puppets
box,point,retrieve,set,3,dog breeds minus “er” sound
blab,dish,spill,tell,0,divulge
command,control,option,return,1,words on a mac keyboard
alternative,emotional,popular,progressive,2,words shortened in rock genres
cheese,cup,pan,short,3,___cake
baby,humor,indulge,pamper,0,mollycoddle
hiss,rattle,shed,slither,1,things a rattlesnake does
boo,gotcha,guess who,surprise,2,words said to an unsuspecting person
bae,creak,see,straight,3,homophones of bodies of water
blueprint,guide,model,mold,0,template
expression,gesture,symbol,token,1,"demonstration, as of appreciation"
can,might,must,will,2,modal verbs
ego,guilt,head,power,3,___ trip
certificate,deed,receipt,title,0,documents of ownership
dance,monologue,sketch,song,1,bits in a variety show
donut,pacifier,saxophone,skateboard,2,props for characters on “the simpsons”
android,rattlesnake,rollerblade,shakespeare,3,"starting with “shake, rattle and roll”"
jerk,tug,wrench,yank,0,wrest
bub,bud,jack,man,1,buster
block,bolster,mat,strap,2,yoga accessories
hub,knee,mad,night,3,___cap
dust,pepper,scatter,shower,0,sprinkle
aroma,bouquet,nose,note,1,scents of wine
mercy,stop,truce,uncle,2,"“aah, enough!”"
aunt,either,tomato,vase,3,words famously pronounced different ways
giant,jumbo,monster,super,0,massive
bowl,ladle,pot,spoon,1,used when serving soup
character,individual,party,person,2,somebody
alien,avatar,dune,tron,3,sci-fi franchises
bio,player,stat,team,0,info on a baseball card
bunch,gather,ruffle,pucker,1,"scrunch, as fabric"
later,now,soon,then,2,time adverbs
fast,finger,junk,soul,3,___ food
direct,head,lead,run,0,be in charge of
balloon,eraser,galosh,tire,1,things made of rubber
blue,earring,lamp,wishes,2,associated with the genie in “aladdin”
bull,cross,herring,velvet,3,red ___
faint,light,mild,soft,0,delicate
grand,great,lofty,noble,1,magnanimous
bottle,giraffe,guitar,lamp,2,things with necks
cab,count,dizzy,duke,3,first names in jazz
bonus,insurance,salary,vacation,0,parts of a compensation package
flag,giveaway,sign,tell,1,indication
cut,deal,fan,shuffle,2,things to do with a deck of cards
banknote,beak,invoice,william,3,what “bill” might refer to
keep,preserve,save,store,0,conserve
buff,file,grind,sand,1,smooth using friction
favorite,parlay,spread,under,2,sports gambling terms
